@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,633,1,3488,55,0.984476,0.998423,0.153603,0.998423,0.846397,0.266246,0.986593,1.01199,0
57,633,1,3487,56,0.984194,0.998423,0.153641,0.998423,0.846359,0.266302,0.986354,1.012236,0
58,633,1,3486,57,0.983912,0.998423,0.153678,0.998423,0.846322,0.266358,0.986114,1.012482,0
59,633,1,3485,58,0.98363,0.998423,0.153715,0.998423,0.846285,0.266414,0.985875,1.012727,0
60,633,1,3484,59,0.983347,0.998423,0.153753,0.998423,0.846247,0.26647,0.985636,1.012973,0
61,633,1,3483,60,0.983065,0.998423,0.15379,0.998423,0.84621,0.266526,0.985396,1.01322,0
62,633,1,3482,61,0.982783,0.998423,0.153827,0.998423,0.846173,0.266582,0.985157,1.013466,0
63,633,1,3481,62,0.982501,0.998423,0.153865,0.998423,0.846135,0.266639,0.984917,1.013712,0
64,633,1,3480,63,0.982218,0.998423,0.153902,0.998423,0.846098,0.266695,0.984678,1.013959,0
65,633,1,3479,64,0.981936,0.998423,0.15394,0.998423,0.84606,0.266751,0.984439,1.014205,0
66,633,1,3478,65,0.981654,0.998423,0.153977,0.998423,0.846023,0.266807,0.984199,1.014452,0
67,633,1,3477,66,0.981372,0.998423,0.154015,0.998423,0.845985,0.266863,0.98396,1.014699,0
68,633,1,3476,67,0.981089,0.998423,0.154052,0.998423,0.845948,0.26692,0.98372,1.014946,0
69,633,1,3475,68,0.980807,0.998423,0.15409,0.998423,0.84591,0.266976,0.983481,1.015193,0
70,633,1,3474,69,0.980525,0.998423,0.154127,0.998423,0.845873,0.267032,0.983242,1.01544,0
71,633,1,3473,70,0.980243,0.998423,0.154165,0.998423,0.845835,0.267089,0.983002,1.015687,0
72,633,1,3472,71,0.97996,0.998423,0.154202,0.998423,0.845798,0.267145,0.982763,1.015935,0
73,633,1,3471,72,0.979678,0.998423,0.15424,0.998423,0.84576,0.267201,0.982523,1.016182,0
74,633,1,3470,73,0.979396,0.998423,0.154277,0.998423,0.845723,0.267258,0.982284,1.01643,0
75,633,1,3469,74,0.979114,0.998423,0.154315,0.998423,0.845685,0.267314,0.982045,1.016678,0
76,633,1,3468,75,0.978831,0.998423,0.154353,0.998423,0.845647,0.267371,0.981805,1.016926,0
77,633,1,3467,76,0.978549,0.998423,0.15439,0.998423,0.84561,0.267427,0.981566,1.017174,0
