@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,92,542,283,3260,0.079876,0.14511,0.245333,0.14511,0.754667,0.182359,0.089777,1.616336,0.692308
57,91,543,282,3261,0.079594,0.143533,0.243968,0.143533,0.756032,0.180735,0.089299,1.60734,0.7
58,91,543,278,3265,0.078465,0.143533,0.246612,0.143533,0.753388,0.181456,0.088341,1.624764,0.714286
59,86,548,264,3279,0.074513,0.135647,0.245714,0.135647,0.754286,0.174797,0.083792,1.618846,0.75
60,64,570,207,3336,0.058425,0.100946,0.236162,0.100946,0.763838,0.141436,0.064879,1.555915,0.777778
61,61,573,200,3343,0.056449,0.096215,0.233716,0.096215,0.766284,0.136313,0.062485,1.539801,0.8
62,57,577,180,3363,0.050804,0.089905,0.240506,0.089905,0.759494,0.130884,0.056739,1.584535,0.818182
63,56,578,178,3365,0.05024,0.088328,0.239316,0.088328,0.760684,0.129032,0.056021,1.576694,0.833333
64,54,580,162,3381,0.045724,0.085174,0.25,0.085174,0.75,0.127059,0.051712,1.647082,0.846154
65,53,581,160,3383,0.045159,0.083596,0.248826,0.083596,0.751174,0.125148,0.050994,1.639349,0.857143
66,49,585,151,3392,0.042619,0.077287,0.245,0.077287,0.755,0.117506,0.047881,1.61414,0.875
67,45,589,143,3400,0.040361,0.070978,0.239362,0.070978,0.760638,0.109489,0.045008,1.576993,0.888889
68,44,590,141,3402,0.039797,0.069401,0.237838,0.069401,0.762162,0.107448,0.04429,1.566954,0.909091
69,43,591,139,3404,0.039232,0.067823,0.236264,0.067823,0.763736,0.105392,0.043572,1.556583,0.941176
70,42,592,138,3405,0.03895,0.066246,0.233333,0.066246,0.766667,0.103194,0.043093,1.537277,1
71,0,634,0,3543,0,0,0,0,0,0,0,?,1.00001
